change_request_status_id|change_request_id|sla_change_status|created_date_utc|created_user
1|3058|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD8254020000008D00BD367CBA0171F087BA2819A66CED71A35285E318A4A6ED30E2F642B6BD815F8A3DBF7BF591E02A23AA420471F8E3
2|3057|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD82540200000007089550AF5612EFA02E48CFD37BD2D7F97A04A6EF2D36AA037C7AFD33C43FA22CCAD1643B5BDF670778F19D6C778648
3|3056|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD82540200000067F7E51EA707B0C8B56A4F774DD609AC267D834776FD42EBFCB9E68255ACE7894BCC328E0FC159E7C60F0AE5ABAA8E5E
4|3055|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD825402000000581AA2FACA6A54ED87255C8B6A4BC236C14FDC6A7C7B1358A2591EA77F8DBA1AC066EA17320120717815C521A0D937DD
5|3054|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD825402000000C499EF376280953ED1C09100282B3186703EF1965C9A714CEF2D1B63AFF93EEE58748598CA2EFEFC13A64A0473ED5D3C
6|3053|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD82540200000073444B4FD651EEE097E2DCDCCEC176ECE7364C6B25A4E7C0D0FD96E8A7700102922B247E2D8E8BA0BD4389E2FE46B1AC
7|3052|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD825402000000F6912C7F5ED8290AA9E56239143F702E80B18EF86F0190D5B79EDD3193D467F4B6D97FF4F8514C4FEC62462313794A2E
8|3051|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD825402000000F783AC072AE0091AEBA7A258EFD45701DA66A2021608922E9B305A1A6806790DAFCCDA24312FF0A55AAD4EECD5D6CB08
9|3050|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD825402000000306978CD41CC932EBD6B1FC69D747B25C85C8C2D414A9992D14ABD3B3AC0ACA980B13F18240B640F1A477724EFC4738A
10|3049|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD825402000000A78E7817571E8EFCA1C0DE79773697F7AC66A7C010F33198B67F7AA2F0832A9C33BCBA5D4A38010529154A2EF50754AA
